Date,Year,Quarter,Month,Company,Industry,Region,Revenue,COGS,Operating Expenses,Gross Profit,Tax,Net Profit,Current Assets,Fixed Assets,Total Assets,Current Liabilities,Long-term Debt,Total Liabilities,Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow
15-10-2024,2024,Q4,October,Vertex Ltd,Finance,South,994994,679095,131973,315899,36785,147141,134783,795186,929969,219012,151304,370316,559653,161590,-64447,58613,155756
27-11-2024,2024,Q4,November,Zenith Inc,Healthcare,North,512746,316138,66368,196608,26048,104192,147151,208202,355353,209266,124464,333730,21623,104592,-12282,70554,162864
23-09-2025,2025,Q3,September,Zenith Inc,Healthcare,South,478059,214697,73899,263362,37892,151571,486841,487774,974615,245014,130745,375759,598856,149534,-77079,60362,132817
30-05-2025,2025,Q2,May,Vertex Ltd,Finance,West,218224,136181,34341,82043,9540,38162,397550,724477,1122027,249960,119250,369210,752817,36348,-18037,29884,48195
07-11-2024,2024,Q4,November,Zenith Inc,IT,East,553700,373284,98387,180416,16405,65624,197241,884049,1081290,195992,246440,442432,638858,83491,-26243,13602,70850
15-11-2024,2024,Q4,November,Nova Ltd,Finance,West,123752,75403,18216,48349,6026,24107,105392,264807,370199,143534,91892,235426,134773,11366,-67514,12433,-43715
24-03-2025,2025,Q1,March,Vertex Ltd,Healthcare,North,506937,230840,73080,276097,40603,162414,140690,271199,411889,140686,160680,301366,110523,172166,-63952,40649,148863
16-08-2025,2025,Q3,August,Nova Ltd,Healthcare,East,469554,313013,69473,156541,17413,69655,324579,455171,779750,174612,143015,317627,462123,76162,-29505,20292,66949
16-02-2024,2024,Q1,February,Vertex Ltd,IT,East,502855,255063,68297,247792,35899,143596,360340,504850,865190,193830,159203,353033,512157,126594,-32141,-36030,58423
08-09-2024,2024,Q3,September,Zenith Inc,IT,South,953005,484917,99549,468088,73707,294832,248138,339324,587462,188622,98473,287095,300367,311404,-36920,-14230,260254
11-06-2025,2025,Q2,June,Alpha Corp,Finance,West,218189,106057,31560,112132,16114,64458,144028,381901,525929,143565,264312,407877,118052,50435,-88676,-21707,-59948
12-09-2025,2025,Q3,September,Alpha Corp,Retail,West,300006,160823,42076,139183,19421,77686,346216,356181,702397,89114,111609,200723,501674,92315,-44465,-38500,9350
05-03-2024,2024,Q1,March,Alpha Corp,Retail,South,476446,264341,84906,212105,25439,101760,273134,879262,1152396,206804,169184,375988,776408,83168,-58872,21417,45713
25-01-2025,2025,Q1,January,Alpha Corp,Finance,West,810254,525235,89151,285019,39173,156695,150967,819138,970105,129553,206811,336364,633741,175617,-62313,-22062,91242
24-12-2024,2024,Q4,December,Nova Ltd,Healthcare,West,594204,363571,115247,230633,23077,92309,383331,635886,1019217,197991,177925,375916,643301,95268,-92194,1683,4757
11-03-2025,2025,Q1,March,Nova Ltd,IT,South,486263,260551,69168,225712,31308,125236,187324,481229,668553,120023,81843,201866,466687,123351,-59644,-19461,44246
12-05-2025,2025,Q2,May,Prime Pvt,Finance,West,549911,253305,67228,296606,45875,183503,342399,781478,1123877,64976,63228,128204,995673,197880,-62628,49264,184516
20-05-2024,2024,Q2,May,Nova Ltd,Finance,East,744355,302756,109894,441599,66341,265364,249618,202791,452409,162464,216097,378561,73848,249996,-58909,-35704,155383
15-07-2024,2024,Q3,July,Vertex Ltd,Healthcare,South,187707,77182,19749,110525,18155,72621,482739,217599,700338,219549,246550,466099,234239,53427,-86266,14728,-18111
02-05-2025,2025,Q2,May,Nova Ltd,Finance,South,505218,280052,82678,225166,28497,113991,191388,751628,943016,124191,236932,361123,581893,94888,-98115,-16329,-19556
19-01-2025,2025,Q1,January,Prime Pvt,Healthcare,South,691865,309013,126320,382852,51306,205226,343044,418078,761122,231475,280051,511526,249596,202048,-27410,-47968,126670
12-01-2025,2025,Q1,January,Alpha Corp,Retail,West,770596,470661,121667,299935,35653,142615,173776,367752,541528,199522,259253,458775,82753,159403,-67735,35674,127342
14-08-2025,2025,Q3,August,Nova Ltd,Finance,East,693409,364102,76712,329307,50519,202076,162787,305343,468130,140657,250886,391543,76587,212166,-44556,-5893,161717
03-02-2024,2024,Q1,February,Prime Pvt,Finance,West,433773,225895,68845,207878,27806,111227,437038,438438,875476,141507,141163,282670,592806,94136,-19658,22235,96713
07-10-2025,2025,Q4,October,Alpha Corp,IT,North,552334,233782,75668,318552,48576,194308,192240,600296,792536,68976,204733,273709,518827,174518,-69914,-12098,92506
29-04-2025,2025,Q2,April,Nova Ltd,Retail,South,325231,224645,57972,100586,8522,34092,117492,782205,899697,240021,167467,407488,492209,19139,-94736,32029,-43568
13-12-2025,2025,Q4,December,Prime Pvt,IT,West,423232,190643,57689,232589,34980,139920,140560,599047,739607,137187,208767,345954,393653,147911,-18306,50519,180124
04-09-2025,2025,Q3,September,Prime Pvt,Retail,West,343493,227014,39208,116479,15454,61817,496738,733431,1230169,127726,188094,315820,914349,64960,-43570,-44927,-23537
24-01-2024,2024,Q1,January,Nova Ltd,Finance,South,842754,353618,88027,489136,80221,320888,212115,414472,626587,167423,209567,376990,249597,318544,-61798,-47933,208813
04-03-2024,2024,Q1,March,Zenith Inc,Healthcare,South,947677,459153,107209,488524,76263,305052,127195,448741,575936,242273,122974,365247,210689,318271,-88484,-43299,186488
09-03-2024,2024,Q1,March,Alpha Corp,Finance,North,907391,468118,163032,439273,55248,220993,209972,264199,474171,211804,248339,460143,14028,237830,-44913,23374,216291
15-02-2025,2025,Q1,February,Alpha Corp,Healthcare,West,653768,271252,86770,382516,59149,236597,217772,595971,813743,53305,134040,187345,626398,224899,-14207,33256,243948
24-10-2024,2024,Q4,October,Alpha Corp,Retail,West,269557,121762,34249,147795,22709,90837,403499,884774,1288273,127735,219164,346899,941374,72501,-72373,-42350,-42222
08-04-2024,2024,Q2,April,Vertex Ltd,Retail,North,492890,307824,96480,185066,17717,70869,123069,570737,693806,232717,203017,435734,258072,68627,-61810,10246,17063
16-07-2025,2025,Q3,July,Prime Pvt,Healthcare,East,481785,325703,83308,156082,14554,58220,233663,490675,724338,145686,227784,373470,350868,68969,-25538,-12696,30735
08-04-2024,2024,Q2,April,Nova Ltd,Finance,West,703265,477952,136504,225313,17761,71048,213877,743615,957492,90113,172637,262750,694742,60734,-12631,15963,64066
27-06-2024,2024,Q2,June,Zenith Inc,Healthcare,West,390589,195133,68757,195456,25339,101360,454983,654209,1109192,139709,188181,327890,781302,110642,-50430,-479,59733
26-05-2024,2024,Q2,May,Nova Ltd,Retail,South,554374,387000,107103,167374,12054,48217,214884,213914,428798,140504,283069,423573,5225,45463,-20833,44935,69565
24-01-2025,2025,Q1,January,Alpha Corp,Finance,South,853222,394154,147493,459068,62315,249260,447284,476709,923993,86029,199637,285666,638327,232658,-90284,31459,173833
24-08-2024,2024,Q3,August,Nova Ltd,IT,South,114064,71066,20063,42998,4587,18348,481323,266033,747356,91841,123726,215567,531789,31410,-78913,6170,-41333
19-07-2024,2024,Q3,July,Vertex Ltd,Retail,South,456854,279608,78467,177246,19755,79024,163463,712160,875623,202543,286090,488633,386990,89646,-59774,-7205,22667
21-09-2024,2024,Q3,September,Nova Ltd,Healthcare,North,627993,438875,78979,189118,22027,88112,225790,330461,556251,128948,161268,290216,266035,91469,-70511,34921,55879
24-11-2024,2024,Q4,November,Prime Pvt,IT,East,365936,186480,46076,179456,26676,106704,470640,336897,807537,142685,195546,338231,469306,95013,-20245,-14585,60183
11-06-2024,2024,Q2,June,Zenith Inc,Healthcare,West,324219,176061,41281,148158,21375,85502,247668,837423,1085091,100470,208645,309115,775976,94482,-85922,-7296,1264
08-06-2024,2024,Q2,June,Prime Pvt,Retail,East,582059,361521,96056,220538,24896,99586,106505,548411,654916,175305,139874,315179,339737,84683,-46210,-19735,18738
29-12-2025,2025,Q4,December,Vertex Ltd,Finance,South,842465,574858,106860,267607,32149,128598,396365,535488,931853,71481,196269,267750,664103,133743,-69045,57899,122597
26-04-2025,2025,Q2,April,Nova Ltd,Finance,South,175077,114119,18228,60958,8546,34184,480171,566298,1046469,62324,280423,342747,703722,44136,-17393,-19349,7394
07-01-2025,2025,Q1,January,Vertex Ltd,IT,East,267511,178549,29977,88962,11797,47188,149013,865977,1014990,57992,179617,237609,777381,32888,-15732,79734,96890
29-09-2025,2025,Q3,September,Nova Ltd,Retail,East,281430,168790,28642,112640,16799,67199,412725,847027,1259752,84611,148179,232790,1026962,52278,-80716,58678,30240
28-02-2024,2024,Q1,February,Zenith Inc,Retail,West,865539,578505,166941,287034,24018,96075,305020,707801,1012821,198099,274556,472655,540166,89369,-21811,-38523,29035
25-09-2024,2024,Q3,September,Zenith Inc,Finance,North,396954,216774,72254,180180,21585,86341,218832,409773,628605,200013,81937,281950,346655,86180,-57229,24703,53654
08-04-2025,2025,Q2,April,Zenith Inc,IT,South,798014,551267,112947,246747,26760,107040,273731,318479,592210,154910,267495,422405,169805,97874,-45648,71053,123279
21-03-2025,2025,Q1,March,Alpha Corp,Retail,West,358551,242302,41807,116249,14888,59554,229877,766443,996320,91069,286463,377532,618788,46291,-89362,-32458,-75529
06-09-2024,2024,Q3,September,Vertex Ltd,IT,South,190831,81203,26924,109628,16540,66164,325102,241825,566927,73438,116584,190022,376905,76201,-76815,-4430,-5044
04-11-2025,2025,Q4,November,Vertex Ltd,Retail,West,707821,439816,74507,268005,38699,154799,166631,521874,688505,233299,106927,340226,348279,140640,-71124,4568,74084
23-06-2024,2024,Q2,June,Nova Ltd,IT,North,606361,280400,91255,325961,46941,187765,332976,373966,706942,166424,98553,264977,441965,173145,-78643,-23813,70689
01-01-2024,2024,Q1,January,Zenith Inc,Finance,North,823082,563282,122873,259800,27385,109542,456840,418501,875341,207400,223053,430453,444888,120755,-61656,-7843,51256
09-05-2024,2024,Q2,May,Nova Ltd,Finance,West,656502,282477,127651,374025,49274,197100,467549,459182,926731,203414,150704,354118,572613,190213,-30892,26771,186092
24-02-2025,2025,Q1,February,Vertex Ltd,Retail,West,915410,478022,91945,437388,69088,276355,306662,516860,823522,62601,250427,313028,510494,295053,-82130,56558,269481
16-04-2025,2025,Q2,April,Zenith Inc,IT,South,851472,501693,169803,349779,35995,143981,401620,370980,772600,51091,243760,294851,477749,132799,-73773,-48370,10656
25-03-2024,2024,Q1,March,Alpha Corp,IT,East,791692,542896,87626,248796,32234,128936,188252,218360,406612,75724,127254,202978,203634,147895,-76015,-2918,68962
14-05-2025,2025,Q2,May,Zenith Inc,Healthcare,East,510123,224426,84196,285697,40300,161201,255643,803526,1059169,231457,237689,469146,590023,153513,-95132,-26918,31463
14-08-2025,2025,Q3,August,Prime Pvt,Healthcare,East,782828,418632,139397,364196,44959,179840,158752,414318,573070,157209,234842,392051,181019,183247,-98476,-38741,46030
31-03-2024,2024,Q1,March,Prime Pvt,Retail,East,876208,447905,135511,428303,58558,234234,291941,765262,1057203,192423,54569,246992,810211,230541,-56387,37678,211832
28-07-2024,2024,Q3,July,Alpha Corp,Retail,East,855494,342787,150661,512707,72409,289637,454966,832029,1286995,62649,53158,115807,1171188,296073,-10966,34248,319355
08-01-2024,2024,Q1,January,Zenith Inc,Finance,West,569060,318093,74625,250967,35268,141074,195166,222488,417654,226646,184781,411427,6227,149040,-37818,-38820,72402
29-04-2024,2024,Q2,April,Prime Pvt,Healthcare,North,801787,557347,146056,244440,19676,78708,160600,572878,733478,142423,245180,387603,345875,65969,-90762,-36281,-61074
01-11-2024,2024,Q4,November,Zenith Inc,IT,North,212431,120551,33489,91880,11678,46713,486980,320457,807437,209184,230856,440040,367397,52205,-86746,-5952,-40493
23-08-2024,2024,Q3,August,Nova Ltd,Healthcare,South,479820,312755,62936,167065,20825,83304,239611,467539,707150,249145,77703,326848,380302,67346,-14508,-21859,30979
05-12-2024,2024,Q4,December,Alpha Corp,Retail,South,544437,352495,103428,191942,17702,70812,241850,466165,708015,224877,143434,368311,339704,84439,-38869,12034,57604
08-01-2025,2025,Q1,January,Alpha Corp,IT,South,347700,165152,56721,182548,25165,100662,113092,362736,475828,85079,97124,182203,293625,112597,-71833,-11831,28933
19-08-2025,2025,Q3,August,Zenith Inc,Retail,East,436923,182961,57092,253962,39374,157496,294464,233965,528429,240039,74662,314701,213728,140495,-80536,-33689,26270
21-07-2024,2024,Q3,July,Prime Pvt,Finance,South,661551,414057,84133,247494,32672,130689,399713,354369,754082,205607,177893,383500,370582,129908,-42889,-37798,49221
26-02-2025,2025,Q1,February,Alpha Corp,IT,West,119106,51712,18980,67394,9682,38732,209269,842763,1052032,79563,117480,197043,854989,58406,-12024,-106,46276
06-06-2025,2025,Q2,June,Zenith Inc,IT,South,995739,451497,138706,544242,81107,324429,476262,388652,864914,112126,291292,403418,461496,318378,-73357,-45740,199281
23-05-2024,2024,Q2,May,Vertex Ltd,Healthcare,North,557814,294396,85220,263418,35639,142559,219109,891486,1110595,56914,114985,171899,938696,142666,-98554,-47398,-3286
27-11-2024,2024,Q4,November,Prime Pvt,IT,East,231599,142151,33304,89448,11228,44916,308912,431739,740651,198571,201798,400369,340282,30253,-62170,74556,42639
20-02-2024,2024,Q1,February,Zenith Inc,Healthcare,West,442996,290687,71036,152309,16254,65019,460739,514921,975660,176425,176015,352440,623220,72926,-42534,69598,99990
27-08-2025,2025,Q3,August,Prime Pvt,Finance,South,861728,473382,167109,388346,44247,176990,112194,504842,617036,135412,289418,424830,192206,183739,-80750,33443,136432
28-04-2024,2024,Q2,April,Nova Ltd,Healthcare,North,566963,293199,62993,273764,42154,168617,299924,821421,1121345,61926,214490,276416,844929,151168,-35673,50241,165736
11-09-2024,2024,Q3,September,Nova Ltd,Retail,East,852629,421461,169457,431168,52342,209369,483772,599200,1082972,188252,258356,446608,636364,204747,-68448,58595,194894
16-11-2025,2025,Q4,November,Zenith Inc,Healthcare,West,840622,354914,165770,485708,63987,255951,141359,256581,397940,77318,67177,144495,253445,250094,-71232,22487,201349
23-08-2024,2024,Q3,August,Alpha Corp,Retail,East,320570,194960,44117,125610,16298,65195,407230,699127,1106357,208537,144591,353128,753229,77003,-74239,8737,11501
19-11-2025,2025,Q4,November,Zenith Inc,Finance,East,238015,110439,25582,127576,20398,81596,255581,330431,586012,53937,288932,342869,243143,76204,-40144,-36576,-516
30-08-2024,2024,Q3,August,Alpha Corp,Finance,East,847196,372503,109109,474693,73116,292468,290021,204160,494181,224035,197965,422000,72181,300607,-69702,62559,293464
20-03-2024,2024,Q1,March,Nova Ltd,Retail,North,506257,336393,82211,169864,17530,70123,434902,705984,1140886,217337,217713,435050,705836,71843,-92782,39402,18463
29-04-2024,2024,Q2,April,Zenith Inc,Retail,North,637168,299213,93026,337955,48985,195944,143462,481994,625456,177231,201942,379173,246283,181209,-92000,8670,97879
14-09-2024,2024,Q3,September,Prime Pvt,Finance,North,551778,298627,89980,253151,32634,130537,329778,593205,922983,145065,167518,312583,610400,148884,-71775,34782,111891
01-08-2024,2024,Q3,August,Alpha Corp,Finance,North,103370,54637,17800,48733,6186,24747,168236,311875,480111,203773,177216,380989,99122,5894,-21001,65990,50883
15-02-2024,2024,Q1,February,Zenith Inc,Finance,South,410215,202779,57114,207436,30064,120258,342281,829604,1171885,196312,93021,289333,882552,114425,-76370,-1991,36064
08-11-2025,2025,Q4,November,Vertex Ltd,IT,North,753247,377307,79004,375940,59387,237549,253184,277096,530280,223951,255070,479021,51259,219518,-29519,-48147,141852
28-06-2025,2025,Q2,June,Alpha Corp,Finance,East,310186,148255,37899,161931,24806,99226,242061,798761,1040822,103017,133256,236273,804549,108432,-55224,-15452,37756
31-12-2024,2024,Q4,December,Nova Ltd,Healthcare,North,451316,225482,56955,225834,33775,135104,106617,753548,860165,114271,93911,208182,651983,149699,-81110,10958,79547
30-06-2024,2024,Q2,June,Vertex Ltd,Retail,South,589089,315326,103658,273763,34021,136084,472049,880653,1352702,232670,193365,426035,926667,140467,-30840,74084,183711
09-11-2024,2024,Q4,November,Prime Pvt,Healthcare,West,128038,67009,25101,61029,7185,28743,352711,875990,1228701,241738,93317,335055,893646,45701,-61017,-1823,-17139
12-08-2025,2025,Q3,August,Vertex Ltd,Healthcare,South,849622,434834,92165,414788,64524,258099,215704,305158,520862,182582,194580,377162,143700,245919,-26555,22686,242050
03-08-2024,2024,Q3,August,Zenith Inc,IT,South,628649,312082,120087,316567,39296,157184,459015,525702,984717,91846,81742,173588,811129,175174,-27457,-6783,140934
20-11-2025,2025,Q4,November,Nova Ltd,Finance,East,791230,487216,97974,304014,41208,164832,421133,561084,982217,80449,235242,315691,666526,183916,-96343,11694,99267
10-06-2024,2024,Q2,June,Nova Ltd,Retail,North,191632,128128,37169,63504,5267,21068,112326,217526,329852,142883,159066,301949,27903,39188,-58742,34548,14994
18-09-2024,2024,Q3,September,Nova Ltd,IT,North,243487,107278,27171,136209,21807,87231,294550,272738,567288,145668,179499,325167,242121,101861,-14921,42021,128961
10-08-2025,2025,Q3,August,Vertex Ltd,Healthcare,West,124241,85335,16262,38906,4528,18116,467374,433402,900776,189403,177123,366526,534250,32007,-76801,33652,-11142
06-01-2025,2025,Q1,January,Nova Ltd,Finance,East,150450,94469,21223,55981,6951,27807,123661,385153,508814,127411,197624,325035,183779,22044,-95005,36305,-36656
29-04-2024,2024,Q2,April,Prime Pvt,IT,East,983966,608880,125063,375086,50004,200019,271570,873118,1144688,160951,106768,267719,876969,200279,-24756,8201,183724
29-04-2025,2025,Q2,April,Alpha Corp,Healthcare,West,719673,301530,97935,418143,64041,256167,173865,421421,595286,216745,166271,383016,212270,252613,-35622,-4556,212435
11-05-2025,2025,Q2,May,Prime Pvt,Healthcare,North,719215,483442,104618,235773,26231,104924,345353,534704,880057,186051,224108,410159,469898,102062,-14746,55037,142353
26-02-2024,2024,Q1,February,Nova Ltd,Finance,North,326104,178559,43465,147545,20816,83264,251714,286089,537803,208134,156300,364434,173369,103209,-71489,35865,67585
01-10-2025,2025,Q4,October,Vertex Ltd,Healthcare,West,833662,543247,130410,290415,32001,128004,339631,383782,723413,104331,83720,188051,535362,138758,-30490,36936,145204
21-09-2025,2025,Q3,September,Nova Ltd,IT,North,220288,138549,28705,81739,10606,42428,200869,396449,597318,125932,257694,383626,213692,44361,-13974,11638,42025
13-05-2024,2024,Q2,May,Prime Pvt,Retail,East,931386,537239,116843,394147,55460,221844,400561,511443,912004,165223,121940,287163,624841,220418,-74437,-13431,132550
10-07-2025,2025,Q3,July,Zenith Inc,Healthcare,North,622572,251215,120196,371357,50232,200929,447473,818927,1266400,67483,271351,338834,927566,207809,-37016,4583,175376
08-06-2025,2025,Q2,June,Prime Pvt,Finance,North,933236,550620,139977,382616,48527,194112,313603,340745,654348,205708,125650,331358,322990,189058,-43153,10970,156875
18-12-2025,2025,Q4,December,Nova Ltd,Retail,South,541792,362846,98264,178946,16136,64546,295696,720296,1015992,224516,270134,494650,521342,65161,-40387,30159,54933
07-09-2024,2024,Q3,September,Nova Ltd,Finance,South,107876,49027,15900,58849,8589,34360,408339,380106,788445,163540,216826,380366,408079,18809,-25864,-6283,-13338
06-11-2025,2025,Q4,November,Alpha Corp,Retail,West,861320,545152,90109,316168,45211,180848,325663,521417,847080,157140,92567,249707,597373,172942,-51308,16906,138540
02-06-2024,2024,Q2,June,Alpha Corp,Finance,West,380395,159094,49425,221301,34375,137501,167610,520125,687735,65811,295540,361351,326384,133147,-26048,51868,158967
17-01-2025,2025,Q1,January,Nova Ltd,Retail,North,571962,241626,91795,330336,47708,190833,243069,608143,851212,208732,150736,359468,491744,177701,-90423,15691,102969
14-10-2025,2025,Q4,October,Prime Pvt,IT,East,475794,322154,78959,153640,14936,59745,438309,304243,742552,147218,119100,266318,476234,43107,-39361,41373,45119
22-09-2025,2025,Q3,September,Prime Pvt,IT,East,706837,481471,122143,225366,20644,82579,157207,240158,397365,82196,118162,200358,197007,68229,-60770,-41471,-34012
06-04-2025,2025,Q2,April,Prime Pvt,Finance,North,729621,467018,117594,262603,29001,116008,213022,244539,457561,152879,120818,273697,183864,124357,-88522,2811,38646
28-06-2025,2025,Q2,June,Zenith Inc,IT,North,439405,248857,58881,190548,26333,105334,324214,236480,560694,142858,55562,198420,362274,124100,-72755,8775,60120
10-12-2025,2025,Q4,December,Alpha Corp,Finance,South,677138,401371,91202,275767,36913,147652,230754,302865,533619,183958,66199,250157,283462,161457,-11510,-8909,141038
25-10-2024,2024,Q4,October,Vertex Ltd,Healthcare,South,827161,485987,143430,341174,39548,158196,110675,417279,527954,146320,62226,208546,319408,155937,-99709,-9917,46311
06-03-2024,2024,Q1,March,Vertex Ltd,IT,West,908395,511238,167322,397157,45967,183868,184896,245046,429942,246240,95991,342231,87711,175694,-84478,-1884,89332
20-10-2024,2024,Q4,October,Zenith Inc,IT,West,204390,113384,26029,91006,12995,51982,482772,460884,943656,158290,86099,244389,699267,41789,-49027,9645,2407
21-07-2025,2025,Q3,July,Prime Pvt,Healthcare,West,293360,153983,30191,139377,21837,87349,307335,850548,1157883,139876,173523,313399,844484,94745,-38210,46859,103394
23-11-2024,2024,Q4,November,Alpha Corp,Retail,West,501939,282504,67872,219435,30312,121251,363759,836397,1200156,147329,265840,413169,786987,124117,-26933,26993,124177
26-02-2025,2025,Q1,February,Zenith Inc,IT,South,461597,242145,56612,219452,32568,130272,151378,799661,951039,199585,269916,469501,481538,145968,-60252,-27180,58536
23-11-2024,2024,Q4,November,Vertex Ltd,Finance,West,952952,520627,161854,432325,54094,216377,470892,444255,915147,115833,117547,233380,681767,228793,-15077,-24847,188869
08-03-2025,2025,Q1,March,Nova Ltd,Finance,South,514477,242612,77496,271865,38873,155496,321869,497411,819280,143577,161798,305375,513905,156553,-89000,-39490,28063
08-08-2024,2024,Q3,August,Prime Pvt,Healthcare,West,752885,392705,88130,360180,54410,217640,307758,429961,737719,126028,60750,186778,550941,232428,-16018,34475,250885
30-11-2025,2025,Q4,November,Alpha Corp,Retail,East,715043,365254,91030,349789,51751,207008,256463,344823,601286,217719,58458,276177,325109,226756,-73806,43218,196168
03-06-2025,2025,Q2,June,Zenith Inc,Finance,South,447310,268172,64798,179138,22868,91472,382640,640155,1022795,74690,265386,340076,682719,91577,-52762,-18580,20235
17-07-2025,2025,Q3,July,Prime Pvt,Retail,East,454507,256486,82243,198021,23155,92623,417126,696615,1113741,102345,297904,400249,713492,80838,-36615,3227,47450
28-01-2024,2024,Q1,January,Alpha Corp,Healthcare,West,403024,187236,43798,215788,34398,137592,494106,512510,1006616,214476,76861,291337,715279,147668,-27160,-21960,98548
16-12-2025,2025,Q4,December,Vertex Ltd,Healthcare,East,702560,315680,107835,386880,55809,223236,344181,362995,707176,154177,137845,292022,415154,209803,-51499,57803,216107
03-03-2025,2025,Q1,March,Alpha Corp,Finance,West,266483,156050,36561,110433,14774,59098,313354,256710,570064,205879,178250,384129,185935,39272,-78153,-21808,-60689
15-09-2024,2024,Q3,September,Alpha Corp,Retail,North,898617,392249,155108,506368,70252,281008,379601,537626,917227,211898,179512,391410,525817,294184,-42829,-26876,224479
23-06-2024,2024,Q2,June,Vertex Ltd,IT,South,909218,522745,159039,386473,45486,181948,165017,399385,564402,117184,237918,355102,209300,184041,-38269,74496,220268
21-11-2024,2024,Q4,November,Vertex Ltd,Healthcare,West,167079,67166,32157,99913,13551,54205,157467,204761,362228,97010,179760,276770,85458,61045,-11108,-16199,33738
27-09-2025,2025,Q3,September,Zenith Inc,Finance,East,836948,461026,143038,375922,46576,186308,103393,349214,452607,103161,242229,345390,107217,196106,-58155,-13022,124929
28-10-2024,2024,Q4,October,Vertex Ltd,Finance,South,544824,273629,105361,271195,33166,132668,143144,448852,591996,86848,183602,270450,321546,113144,-70071,15101,58174
14-05-2024,2024,Q2,May,Vertex Ltd,Finance,East,229663,92190,27773,137473,21940,87760,440976,220758,661734,178727,111151,289878,371856,85525,-57490,-37664,-9629
16-11-2024,2024,Q4,November,Vertex Ltd,IT,North,122692,61130,15283,61562,9255,37024,455724,540079,995803,69081,57682,126763,869040,26523,-98953,49310,-23120
11-01-2024,2024,Q1,January,Zenith Inc,Healthcare,North,552533,374319,58546,178214,23933,95735,499214,229773,728987,91967,294649,386616,342371,89546,-87757,64745,66534
21-11-2024,2024,Q4,November,Prime Pvt,Retail,West,614090,356374,110961,257716,29351,117404,126747,653988,780735,243329,239413,482742,297993,110953,-28153,74350,157150
10-07-2025,2025,Q3,July,Vertex Ltd,Finance,East,592624,390286,111132,202338,18241,72965,279599,452723,732322,196215,133049,329264,403058,66173,-72673,-35382,-41882
05-05-2024,2024,Q2,May,Zenith Inc,IT,North,895939,399484,93560,496455,80579,322316,358031,262163,620194,235234,289686,524920,95274,331940,-92034,47140,287046
26-04-2025,2025,Q2,April,Zenith Inc,Finance,North,114993,67610,12025,47383,7071,28287,282177,327132,609309,144125,204460,348585,260724,35194,-86217,10890,-40133
10-10-2025,2025,Q4,October,Prime Pvt,Retail,South,719726,335292,102918,384434,56303,225213,209810,494226,704036,237991,249175,487166,216870,213480,-29520,73059,257019
06-06-2024,2024,Q2,June,Zenith Inc,IT,West,850147,445856,95551,404291,61748,246992,286579,563205,849784,218380,118394,336774,513010,250360,-21446,-33893,195021
22-07-2024,2024,Q3,July,Alpha Corp,Retail,South,200885,111903,21380,88982,13520,54082,465670,541377,1007047,131855,126667,258522,748525,47470,-46363,10316,11423
24-01-2025,2025,Q1,January,Prime Pvt,Retail,East,410229,191713,80432,218516,27616,110468,107666,530840,638506,214083,257476,471559,166947,107088,-81462,16622,42248
10-01-2025,2025,Q1,January,Prime Pvt,IT,East,320025,220846,53397,99179,9156,36626,321462,573757,895219,191665,230701,422366,472853,33126,-38193,53065,47998
27-03-2024,2024,Q1,March,Vertex Ltd,Healthcare,East,655538,298863,66502,356675,58034,232139,353379,772675,1126054,219547,217937,437484,688570,245283,-93355,-5395,146533
06-09-2024,2024,Q3,September,Vertex Ltd,Healthcare,South,758155,506278,82201,251877,33935,135741,443435,609060,1052495,160137,294198,454335,598160,127250,-27199,70624,170675
27-07-2025,2025,Q3,July,Vertex Ltd,Healthcare,East,288204,164225,55714,123979,13653,54612,217680,604766,822446,121613,229029,350642,471804,64310,-95563,-25241,-56494
28-08-2025,2025,Q3,August,Alpha Corp,Finance,East,300762,177470,56836,123292,13291,53165,241286,721963,963249,119349,189653,309002,654247,33813,-97296,29659,-33824
21-07-2024,2024,Q3,July,Prime Pvt,IT,South,465959,308784,56717,157175,20091,80367,159627,563272,722899,114301,186149,300450,422449,91323,-90611,60555,61267
21-07-2025,2025,Q3,July,Zenith Inc,IT,South,922711,413361,161468,509350,69576,278306,233500,440736,674236,172832,188289,361121,313115,293404,-50893,-24315,218196
14-03-2025,2025,Q1,March,Vertex Ltd,IT,West,316770,199998,57908,116772,11772,47092,493376,375808,869184,186341,250520,436861,432323,55724,-97403,-2411,-44090
15-10-2025,2025,Q4,October,Vertex Ltd,IT,East,735044,480025,133831,255019,24237,96951,427033,801686,1228719,137238,223062,360300,868419,112429,-74133,46329,84625
05-10-2024,2024,Q4,October,Prime Pvt,IT,South,280093,183175,46900,96918,10003,40015,119357,332015,451372,120646,224923,345569,105803,50138,-75864,6084,-19642
19-10-2024,2024,Q4,October,Alpha Corp,Healthcare,North,315790,213453,33850,102337,13697,54790,197861,893261,1091122,209725,87498,297223,793899,54255,-31252,-45001,-21998
17-03-2025,2025,Q1,March,Nova Ltd,IT,North,872605,580256,122388,292349,33992,135969,388619,840025,1228644,71908,174133,246041,982603,118945,-38142,14914,95717
25-02-2025,2025,Q1,February,Zenith Inc,Finance,South,971022,637102,141057,333920,38572,154291,148507,740800,889307,126744,130432,257176,632131,167035,-91209,40974,116800
10-03-2025,2025,Q1,March,Vertex Ltd,Finance,South,835414,494174,118035,341240,44641,178564,127703,715945,843648,145186,117687,262873,580775,193721,-25812,-17913,149996
